Date,USD
11/07/2025,85.8536
10/07/2025,85.5780
09/07/2025,85.7979
08/07/2025,85.7188
07/07/2025,85.8150
04/07/2025,85.3886
03/07/2025,85.5121
02/07/2025,85.6928
01/07/2025,85.6179
30/06/2025,85.5439
27/06/2025,85.5594
26/06/2025,85.7528
25/06/2025,85.8732
24/06/2025,86.1043
23/06/2025,86.8080
20/06/2025,86.6133
19/06/2025,86.6994
18/06/2025,86.3030
17/06/2025,86.0978
16/06/2025,86.0242
13/06/2025,86.0979
12/06/2025,85.5353
11/06/2025,85.4542
10/06/2025,85.5949
09/06/2025,85.4984
06/06/2025,85.7883
05/06/2025,85.7730
04/06/2025,85.9579
03/06/2025,85.4576
02/06/2025,85.4353
30/05/2025,85.4778
29/05/2025,85.4976
28/05/2025,85.6873
27/05/2025,85.3220
26/05/2025,84.9004
23/05/2025,85.6821
22/05/2025,85.6653
21/05/2025,85.5546
20/05/2025,85.4582
19/05/2025,85.4910
16/05/2025,85.5665
15/05/2025,85.5871
14/05/2025,85.2982
13/05/2025,84.8888
09/05/2025,85.6438
08/05/2025,84.8642
07/05/2025,84.5715
06/05/2025,84.5436
05/05/2025,84.2369
02/05/2025,83.8568
30/04/2025,85.0535
29/04/2025,85.2005
28/04/2025,85.1980
25/04/2025,85.5788
24/04/2025,85.5085
23/04/2025,85.4372
22/04/2025,85.1003
21/04/2025,85.1622
17/04/2025,85.5703
16/04/2025,85.6464
15/04/2025,85.6905
11/04/2025,86.1441
09/04/2025,86.6171
08/04/2025,85.9085
07/04/2025,85.8087
04/04/2025,85.2281
03/04/2025,85.6468
02/04/2025,85.6024
28/03/2025,85.5814
27/03/2025,85.7610
26/03/2025,85.8683
25/03/2025,85.7302
24/03/2025,85.8318
21/03/2025,86.2184
20/03/2025,86.3040
19/03/2025,86.5016
18/03/2025,86.6705
17/03/2025,86.7920
13/03/2025,87.0833
12/03/2025,87.2605
11/03/2025,87.3267
10/03/2025,87.2392
07/03/2025,87.0612
06/03/2025,87.0859
05/03/2025,87.0896
04/03/2025,87.3786
03/03/2025,87.3314
28/02/2025,87.4006
27/02/2025,87.2119
25/02/2025,87.0022
24/02/2025,86.6916
21/02/2025,86.6466
20/02/2025,86.6995
18/02/2025,86.9742
17/02/2025,86.7721
14/02/2025,86.8862
13/02/2025,86.8822
12/02/2025,86.8461
11/02/2025,86.8861
10/02/2025,87.5858
07/02/2025,87.4782
06/02/2025,87.5617
05/02/2025,87.2237
04/02/2025,87.1206
03/02/2025,87.1162
31/01/2025,86.6414
30/01/2025,86.5842
29/01/2025,86.5768
28/01/2025,86.5358
27/01/2025,86.4175
24/01/2025,86.2904
23/01/2025,86.4593
22/01/2025,86.5661
21/01/2025,86.5139
20/01/2025,86.5481
17/01/2025,86.5844
16/01/2025,86.4854
15/01/2025,86.5008
14/01/2025,86.5497
13/01/2025,86.4368
10/01/2025,85.8956
09/01/2025,85.8806
08/01/2025,85.8443
07/01/2025,85.7191
06/01/2025,85.8279
03/01/2025,85.7598
02/01/2025,85.7853
01/01/2025,85.7090
31/12/2024,85.6232
30/12/2024,85.4655
27/12/2024,85.5914
26/12/2024,85.2684
24/12/2024,85.1932
23/12/2024,85.0713
20/12/2024,85.0880
19/12/2024,85.0739
18/12/2024,84.9370
17/12/2024,84.9264
16/12/2024,84.8259
13/12/2024,84.8411
12/12/2024,84.8732
11/12/2024,84.8427
10/12/2024,84.8531
09/12/2024,84.7305
06/12/2024,84.6578
05/12/2024,84.7335
04/12/2024,84.6885
03/12/2024,84.7450
02/12/2024,84.6812
29/11/2024,84.4971
28/11/2024,84.4917
27/11/2024,84.4708
26/11/2024,84.2835
25/11/2024,84.2776
22/11/2024,84.4975
21/11/2024,84.4561
19/11/2024,84.4036
18/11/2024,84.3875
14/11/2024,84.4050
13/11/2024,84.4063
12/11/2024,84.4011
11/11/2024,84.3848
08/11/2024,84.3751
07/11/2024,84.3562
06/11/2024,84.2366
05/11/2024,84.1225
04/11/2024,84.1055
31/10/2024,84.0886
30/10/2024,84.0847
29/10/2024,84.0783
